asin,keyword_id_list
0974731544,[120959418]
B000JCV6L6,[120959424]
B0013E2ARI,[120959418]
B0016JI7KO,[120959047]
B0019GKDTM,[120959423]
B002882G68,[120959223]
B002BTPUO4,[120959047]
B002CRZY8W,[120959423]
B002KW71N0,"[120959419, 120959565]"
B002KWC996,[120959419]
B002T4S2PA,[120959418]
B003NGHVVO,[120959418]
B003NGJYT6,[120959222]
B003NGOM2A,[120959223]
B003UI6R4W,[120959047]
B003UIDJR0,[120959047]
B003XGCEB6,[120959423]
B003XGCHGI,[120959423]
B003XGEDII,[120959423]
B003XGG656,[120959423]
B003XGHZZQ,[120959423]
B003XGI0QY,[120959423]
B00400N4RW,[120959423]
B00450LI48,[120959223]
B00450LI70,[120959423]
B00450NHJC,[120959418]
B00450P4GG,[120959418]
B00450QQFE,[120959223]
B0047BX6EU,[120959418]
B0048GP25U,[120959418]
B004HOFRGC,[120959423]
B004S6A9IA,[120959424]
B004T6AGHS,[120959418]
B004WN7NPG,"[120959222, 120959223]"
B0055NRJLA,[120959047]
B005SI5PWM,[120959423]
B006YTYM8W,[120959423]
B0083A2YT4,[120959423]
B008NU3W6I,[120959223]
B00CKVOZHQ,[120959418]
B00D7H8YGA,[120959222]
B00II5RSR2,[120959423]
B00IN6ENWY,[120959537]
B00LGKZ38C,[120959423]
B00O3I4GUU,[120959047]
B00OMXN0Z8,[120959424]
B00VF2AWKU,"[120959222, 120959223]"
B00VF2BASI,"[120959418, 120959222, 120959223]"
B00VGQYIGY,[120959418]
B00W3C1D9U,"[120959418, 120959223]"
B00W6C1BSK,"[120959418, 120959222]"
B00X0P43HS,[120959423]
B00XTHFZFQ,[120959047]
B015N2NX3A,"[120959424, 120959423, 120959223, 120959047]"
B017OJCCUA,[120959419]
B018JRGUR2,"[120959420, 120959047]"
B01AWMOYX4,[120959423]
B01CITE89O,[120959423]
B01CIXC6Q2,[120959423]
B01CLSAT5E,[120959423]
B01CYLSC9I,[120959419]
B01CYLXCL6,"[120959419, 120959565]"
B01D0HA87Y,[120959423]
B01D0HAKKE,[120959423]
B01GVWZA4Q,[120959424]
B01HONDZ66,"[120959222, 120959223]"
B01KP195PY,"[120959424, 120959425, 121095972, 120959537, 120959420, 120959421, 120959422]"
B01KXSA0O4,[120959423]
B01LW2GK8U,"[120959425, 121095973]"
B01LWIAHBP,[120959222]
B01LXT760I,"[120959418, 120959222, 120959223]"
B01LXT76R2,[120959418]
B01LZRKDOP,[120959223]
B01LZRKEMH,"[120959418, 120959222, 120959223]"
B01M0QFJ48,[120959223]
B01M11Q19D,[120959222]
B01M129HSB,[120959223]
B01M2V5BBY,[120959047]
B01M7O31KD,[120959047]
B01MQ5RE5S,[120959223]
B01MS9566S,[121095972]
B01MUEDFK3,[120959565]
B01N0EWAVD,[120959420]
B01N2PGRFV,"[120959418, 120959223]"
B06W52HGSN,[120959423]
B06WWDPT63,"[120959422, 120959047]"
B06XGNHD7B,"[120959418, 120959223]"
B06XT1BDYV,[121095972]
B06XXJWBPJ,[120959222]
B0713Y47LJ,[120959047]
B071997HPY,"[120959418, 120959222, 120959223]"
B071ZLYHKG,[120959423]
B072C8R9YY,[120959423]
B074K6NQQB,[120959418]
B074LQHSP2,[120959418]
B074V9PB9B,"[120959418, 120959222, 120959223]"
B075HR1DPB,[120959418]
B075KMGJQD,[120959537]
B075L98CRK,[120959418]
B07693FD22,"[120959222, 120959223]"
B07693RHDC,"[120959222, 120959223]"
B07693TPG6,"[120959418, 120959222, 120959223]"
B077BVKGVD,[120959222]
B077BXWN2W,[120959418]
B07886S432,[120959047]
B07887FDQ4,[120959047]
B07887KKJR,[120959047]
B07887R69C,[120959047]
B0788D46MN,[120959047]
B078T4CCQ9,[120959047]
B07B1F4Z33,"[120959419, 120959565]"
B07B43NZGB,[120959047]
B07B43WDY1,[120959047]
B07B447QR7,[120959047]
B07B44BMFN,[120959047]
B07B4MT7F1,[120959047]
B07B4NK8LH,[120959047]
B07B5PQ3L9,[120959047]
B07BDHP48T,[120959222]
B07BDJ45HP,"[120959418, 120959222, 120959223]"
B07BFDF4N1,[120959047]
B07BFDGSB9,[120959047]
B07BMTSSTB,[120959537]
B07BT41JG8,"[120959424, 120959047]"
B07BTBLHM4,"[120959424, 120959537, 120959418, 120959420, 120959421]"
B07C1F86YK,[120959222]
B07C4S5KCG,[120959222]
B07CNP8R7F,"[120959222, 120959223]"
B07CX9TQNY,[120959047]
B07DNJ5VVS,"[120959418, 120959222, 120959223]"
B07DQRGJQ9,"[120959222, 120959223]"
B07F33HVL7,"[120959424, 120959537, 120959420, 120959047]"
B07GBDMF12,[120959425]
B07H1XFTH4,[120959222]
B07HXTFD8D,[120959423]
B07JG9LSBJ,[120959537]
B07JHPP5SN,[120959223]
B07LCVNPFK,[120959423]
B07M5B3KNS,[120959423]
B07MMM5BHP,[120959418]
B07MVLK8KB,[120959418]
B07N1HDXDF,"[121095972, 121095973]"
B07N1RS1PN,[120959537]
B07NLQ5FS3,"[120959419, 120959565]"
B07NRYCRL3,"[121095972, 121095973]"
B07NZ8P122,[120959537]
B07PM2K5VS,"[120959420, 121095972]"
B07PQMZJTK,"[120959222, 120959223]"
B07PRXMD8G,[120959418]
B07PRXY9Q2,"[120959418, 120959223]"
B07PRYCDYQ,[120959418]
B07PV6NJFH,"[120959424, 120959537, 120959420, 120959421, 120959422]"
B07PX9YR31,"[120959424, 120959537, 120959420, 120959421, 120959422]"
B07PZRYNH4,[120959423]
B07Q6ZWMLR,[121095980]
B07QKQT6RV,[120959537]
B07QLX7QRV,[120959537]
B07QR9M67M,[120959222]
B07QSFSL6K,[120959222]
B07R127HXV,[120959423]
B07R38FY1P,[120959423]
B07R3NYTQ9,[120959423]
B07RFRPFBG,"[120959424, 120959047]"
B07RRH271P,[120959537]
B07RSJZZ52,[120959537]
B07S1SF5XQ,[120959565]
B07S249394,[120959423]
B07SQXKPW2,"[120959424, 120959418, 120959420]"
B07T41FSHR,[120959223]
B07T6BZC9P,[120959222]
B07T86FDGM,[120959537]
B07T91KFMP,"[120959425, 120959418]"
B07VL2J4D7,"[120959418, 120959222, 120959223]"
B07VSQJP8G,"[120959418, 120959222, 120959223]"
B07W3DT2TL,[120959537]
B07X1Q6WJX,[120959047]
B07X6TMCQF,[120959418]
B07XCXL6SM,"[120959425, 121095972, 121095973, 120959423]"
B07XJWRL6R,[120959565]
B07XMMHKKW,[120959418]
B07XPKYDPR,[120959418]
B07XYDK5H5,"[121095972, 121095973]"
B07Y1NXXGB,[120959418]
B07YS4CXFJ,[120959418]
B07YX6JZ2L,[120959047]
B07YXBSC3J,[120959047]
B07YXC62GX,[120959047]
B07YXC8YNY,[120959047]
B07ZCQY3VF,"[120959418, 120959223]"
B081FJVPKP,[120959047]
B081FYN9QR,[120959047]
B081L2F8BL,[120959418]
B081MSYXRN,"[120959418, 120959223]"
B081MW23PG,[120959223]
B081YNKNTP,[121095980]
B082QK6JHT,[120959047]
B08336KZCL,"[120959425, 121095980]"
B083DJ9RVC,[120959423]
B084CSMW2Q,[120959537]
B085H215KP,[120959047]
B085H285F2,[120959223]
B085WGC265,"[120959222, 120959223]"
B08612CN2M,[120959047]
B0863SN8S1,[120959537]
B086QQ4K9B,"[120959424, 120959420]"
B087YWQXN9,[120959537]
B0888SR259,[120959418]
B088FRDXTX,[120959423]
B088JY7JTW,[120959047]
B088X3MJHF,"[120959537, 120959420, 120959421, 120959422]"
B08913SJDP,[120959565]
B089783VY1,[120959047]
B089CKNL5L,"[120959222, 120959223]"
B089CPS5N6,"[120959418, 120959222, 120959223]"
B089LSGXBR,[120959423]
B089MDNB23,[120959418]
B089S4QVLN,[120959423]
B089SRLV7C,[120959423]
B08B1NML8T,[120959423]
B08B6DP4RR,[120959222]
B08B6F6JK2,[120959418]
B08B7NH58H,[120959047]
B08BFVYD3Z,[120959418]
B08BHZ1895,[120959565]
