ASIN,Title,Drop Down,Product Details,Glance Icon Details,Description,Option,Rating,Review Count
B0C3JFQ3BF,Crazy Cups Flavored Ground Peppermint Coffee Peppermint Mocha Coffee in 10 oz Bag For Brewing Flavored Hot or Iced Coffee 3 Pack,{'Label not found': '1'},"{'Brand': 'Crazy Cups', 'Item Form': 'Ground', 'Flavor': 'Pepperment Mocha', 'Caffeine Content Description': 'Caffeinated', 'Roast Level': 'Medium Roast'}",{},"PEPPERMINT MOCHA MAGIC: Delight in the blissful fusion of rich chocolate and cool peppermint in our Peppermint Mocha coffee. Every sip is a festive treat, turning your coffee breaks into a magical holiday experience. DELICIOUS FLAVORED GROUND COFFEE: Stock up on flavored fresh ground coffees that deliver the intense taste you’ve been looking for. Crazy Cups produces some of the tastiest, most innovative flavored coffees available today NATURALLY FLAVORED WITHOUT ALLERGENS: Crazy Cups artisan roasted specialty coffee uses all natural flavors and no added sugar to deliver rich coffee taste and surprisingly bold flavors with each and every cup. A HEALTHY CHOICE: All Crazy Cups flavored ground coffees are calorie-free, gluten free, lactose free, non-dairy, sugar free, nut-free, vegan, kosher pareve, and do not contain any artificial sweeteners JOIN THE FLAVOR NATION: If you’re passionate about flavors, we invite you to join our Flavor Nation today and explore our more than 50 different flavors of Crazy Cups coffees, decafs, teas, ciders, and hot chocolates for K Cup brewers as well!",{},4.3 out of 5 stars,1317 ratings
B0CSC35MSL,Crazy Cups Decaf Flavored Ground Coffee Decaffeinated Coconut Caramel Coffee For Brewing Flavored Hot or Iced Decaf Caramel Coffee 10oz,{'Label not found': '1'},"{'Brand': 'Crazy Cups', 'Item Form': 'Ground', 'Flavor': 'Decaf Coconut Caramel', 'Caffeine Content Description': 'Decaffeinated', 'Roast Level': 'Medium Roast'}",{},"RELAXING TROPICAL RETREAT IN DECAF: Enjoy the serene flavors of coconut and caramel in a decaf coffee that transports you to a relaxing retreat, perfect for evening sipping without the caffeine kick. DELICIOUS FLAVORED COFFEE: Stock up on flavored fresh decaf coconut ground coffee that deliver the intense taste you’ve been looking for. Crazy Cups produces some of the tastiest, most innovative flavored coffees available today NATURALLY FLAVORED WITHOUT ALLERGENS: Crazy Cups artisan roasted caramel coffee specialty coffee uses all natural flavors and no added sugar to deliver rich coffee taste and surprisingly bold flavors with each and every cup. A HEALTHY CHOICE: All Crazy Cups flavored ground coffees are calorie-free, gluten free, lactose free, non-dairy, sugar free, nut-free, vegan, kosher pareve, and do not contain any artificial sweeteners JOIN THE FLAVOR NATION: If you’re passionate about flavors, we invite you to join our Flavor Nation today and explore our more than 50 different flavors of Crazy Cups coffees, decafs, teas, ciders, and hot chocolates for K Cup brewers as well!",{},4.3 out of 5 stars,1650 ratings
B00M4WC8K2,EKOCUPS Organic Mexican Roast Coffee Pods Extra 30% More Coffee Per Cup Artisan Fair Trade Dark Roast Mexican Roast Coffee for Keurig K Cup Machines Recyclable Pods 40 Count,{'Label not found': '1'},"{'Brand': 'EKOCUPS', 'Item Form': 'Capsule', 'Flavor': 'Mexican Roast', 'Caffeine Content Description': 'Caffeinated', 'Roast Level': 'Dark Roast'}",{},"MEXICAN COFFEE: Our Mexican coffee delivers an earthy nutty & a subtle spicy flavor. Enjoy the crisp finish of this medium bodied Mexican gourmet coffee dark roast selection. It's an organic coffee dark roast blend you can enjoy every morning MORE COFFEE: EKOCUPS offers you 30% more coffee in each Mexican coffee gourmet selection for a richer bolder taste. Our coffee pods dark roast blends are certified US Organic & Fair Trade so you can enjoy our gourmet coffee pods with peace of mind! QUALITY INGREDIENTS: EKOCUPS coffee beans are expertly roasted delivering bold & robust dark roast coffee pods. Our organic coffee capsules are Kosher, Pareve, Vegan, & Keto friendly. Enjoy the subtle hints of cinnamon in our sugar free coffee ECO-FRIENDLY: Our organic coffee pods single serve capsules for Keurig Machines are packaged in recyclable capsules. Enjoy our dark roast pods hot or as an iced coffee. Indulge in our coffee organic dark roast blends while doing right by mother nature. COMPATIBLE WITH KEURIG BREWERS: Our single serve coffee pods are compatible coffee machine that brew Mexican Coffee K Cups including the Keurig 2.0 brewer. K cups is a registered trademark of Keurig. We are not affiliated with Keurig & Green Mountain.",{},4.4 out of 5 stars,1266 ratings
B0C3B6MWYJ,"Crazy Cups Flavored Ground Decaf Chocolate Coffee, Decaffeinated Chocolate Raspberry Coffee in 10 oz Bag, For Brewing Flavored Hot or Iced Coffee, (Pack of 3)",{},{},{},No Description,{},,
B00M4WC870,EKOCUPS Organic Hazelnut Flavored Coffee Pods Artisan Fair Trade Hazelnut Coffee for Keurig K Cup Machines Recyclable Pods 40 Count,{'Label not found': '1'},"{'Brand': 'EKOCUPS', 'Item Form': 'Pods', 'Flavor': 'Hazelnut', 'Caffeine Content Description': 'Caffeinated', 'Roast Level': 'Medium Roast'}",{},"HAZELNUT COFFEE: Our artisan roasted hazelnut coffee offers a a sweet & bright flavor. Enjoy the crisp finish of this medium-bodied coffee pod hazelnut selection. It's a coffee gourmet medium roast blend you can enjoy every morning! COFFEE PODS FOR KEURIG: Our single serve coffee pods are compatible with coffee machines that brew organic K Cups including the Keurig 2.0 brewer. K cups is a registered trademark of Keurig. We are not affiliated with Keurig & Green Mountain MORE COFFEE: EKOCUPS offers you 30% more coffee in each coffee hazelnut selection for a richer bolder taste. Our coffee pods hazelnut blends are certified US Organic & Fair trade so you can enjoy our gourmet coffee pods with peace of mind! QUALITY INGREDIENTS: EKOCUPS coffee beans are expertly sourced and roasted delivering bold and robust coffee flavor. Our organic coffee capsules are Kosher, Pareve, Vegan, and Keto friendly. Enjoy our sugar free coffee with out the guilt! ECO-FRIENDLY: Our organic fair trade coffee k cups for Keurig Machines are packaged in recyclable capsules. Enjoy our bold flavored pods hot or as an iced coffee. Indulge in our coffee k pods while doing right by mother nature.",{},4.3 out of 5 stars,944 ratings
B01MAYUA7J,EKOCUPS Organic Espresso Roast Coffee Pods Extra 30% More Coffee Per Cup Artisan Fair Trade Dark Roast Espresso Coffee for Keurig K Cup Machines Recyclable Pods 40 Count,{'Label not found': '1'},"{'Brand': 'EKOCUPS', 'Item Form': 'Pods', 'Flavor': 'Espresso', 'Caffeine Content Description': 'Caffeinated', 'Roast Level': 'Dark Roast'}",{},"Using cool-peel-recycle technology, allowing our plastic cups to be recyclable by removing the lid and filter after brewing and recycling the cup Complex and smoky, dark caramel syrupy, rich body, intense finish Works with all Keurig K cup brewers including the new Keurig 2.0 brewer",{},4.4 out of 5 stars,1266 ratings
B0C3LZQ4N8,Crazy Cups Flavored Ground Decaf Christmas Coffee Decaffeinated White Christmas Coffee in 10 oz Bag For Brewing Flavored Hot or Iced Coffee (Pack of 3),{'Label not found': '1'},"{'Brand': 'Crazy Cups', 'Item Form': 'Ground', 'Flavor': 'Decaf White Christmas', 'Caffeine Content Description': 'Decaffeinated', 'Roast Level': 'Medium Roast'}",{},"DECAF WHITE CHRISTMAS: Immerse in the magic of a frosty winter morning with our Decaf White Christmas coffee. Perfect for those who want to enjoy the holiday season's delights without the caffeine, this brew is a heartwarming treat. DELICIOUS FLAVORED GROUND COFFEE: Stock up on flavored fresh ground coffees that deliver the intense taste you’ve been looking for. Crazy Cups produces some of the tastiest, most innovative flavored coffees available today NATURALLY FLAVORED WITHOUT ALLERGENS: Crazy Cups artisan roasted specialty coffee uses all natural flavors and no added sugar to deliver rich coffee taste and surprisingly bold flavors with each and every cup. A HEALTHY CHOICE: All Crazy Cups flavored ground coffees are calorie-free, gluten free, lactose free, non-dairy, sugar free, nut-free, vegan, kosher pareve, and do not contain any artificial sweeteners JOIN THE FLAVOR NATION: If you’re passionate about flavors, we invite you to join our Flavor Nation today and explore our more than 50 different flavors of Crazy Cups coffees, decafs, teas, ciders, and hot chocolates for K Cup brewers as well!",{},4.6 out of 5 stars,1650 ratings
B00UXNNF06,EKOCUPS Organic and Fair Trade Gourmet Coffee Single Serve Cups for Keurig Brewer 20 Count,{'Label not found': '1'},"{'Brand': 'EKOCUPS', 'Item Form': 'K Cups', 'Flavor': 'Fair Trade Gourmet', 'Caffeine Content Description': 'Decaffeinated', 'Roast Level': 'Dark Roast'}",{},"Works with all Keurig K cup Brewers including the new Keurig 2.0 brewer 13 grams of coffee packed into our EKOCUPS, 30 percent more coffee per cup than the average brand of single serve cups for a richer cup of coffee that just tastes better; Cool Peel Recycle cups USDA Certified, Fair Trade and Organic Coffee contains no Gluten or Lactose, OU Kosher and Vegan; Using cool-peel-recycle technology, allowing our plastic cups to be recyclable by removing the lid and filter after brewing and recycling the cup A 20 Count Variety Pack Sampler of EKOCUPS includes Coffee, Decaf and Flavored Coffee Organic Fair Trade Gourmet Recyclable Single serve cups EKOCUPS has no affiliation with Keurig, Green Mountain or K-Cup; K-Cup is registered trademark of Keurig and/or Green Mountain",{},4.3 out of 5 stars,944 ratings
B0C3LZDH68,Crazy Cups Decaf Flavored Holiday Ground Coffee Variety Pack Includes Decaffeinated Holiday Spice White Christmas Caramel Eggnog in 10 oz Bags 3 Pack,{'Label not found': '1'},"{'Flavor': 'Decaf Seasonal Variety Pack', 'Brand': 'Crazy Cups', 'Item Weight': '10 Ounces', 'Specialty': 'Gluten Free, Kosher Certified, Lactose Free, Sugar Free, Vegan', 'Unit Count': '36.48 Ounce', 'Number of Items': '1', 'Package Weight': '1.01 Kilograms', 'Package Information': 'Pouch', 'Number of Pieces': '3', 'UPC': '810086996001'}",{},"HOLIDAY FLAVORS TO SAVOR: Our Decaf Holiday Variety Pack includes Holiday Spice, White Christmas, and Caramel Eggnog Coffee. Savor the taste of the season without stepping out, its rich flavor profile will make you feel you're enjoying a holiday special at your favorite café. MULTIPLY THE JOY: Our decaf coffee variety pack offers a taste of multiple flavors in one pack. Whether you want the comforting Holiday Spice, the cool White Christmas, or the creamy Caramel Eggnog, we've got you covered! NATURALLY FLAVORED WITHOUT ALLERGENS: Crazy Cups artisan roasted specialty coffee uses all natural flavors and no added sugar to deliver rich coffee taste and surprisingly bold flavors with each and every cup. A HEALTHY CHOICE: All Crazy Cups flavored ground coffees are calorie-free, gluten free, lactose free, non-dairy, sugar free, nut-free, vegan, kosher pareve, and do not contain any artificial sweeteners JOIN THE FLAVOR NATION: If you’re passionate about flavors, we invite you to join our Flavor Nation today and explore our more than 50 different flavors of Crazy Cups coffees, decafs, teas, ciders, and hot chocolates for K Cup brewers as well!",{},4.3 out of 5 stars,-1995
B0719WXRH8,Decaf Flavored Coffee Variety Pack - 6 Traditional Flavors (Caramel Swirl Hazelnut Glazed Donut Mocha Nut Fudge Vanilla Bean and Cinnamon Bun) for Keurig K Cups Coffee Makers - 72 Count,{'Label not found': '1'},"{'Brand': 'Double Donut Coffee', 'Item Form': 'Capsule', 'Flavor': 'Decaf Variety Pack', 'Caffeine Content Description': 'Decaffeinated', 'Roast Level': 'Medium Roast'}",{},"Better Choice: Double Donut capsules are Recyclable perfect for use with both the 1.0 and 2.0 Keurig K-Cup brewer. Please help stop the proliferation of non-recyclable capsules Double Donut Decaf Flavored coffee Made with high-quality Arabica Coffee beans for true, rich flavor. All of the cups are enhanced with flavors such as Vanilla Bean, Hazelnut, Mocha, Glazed Donut and more. It is time to enjoy same good coffee flavors without the side effect of the caffeine. Double Donuts coffee Variety pack of Decaf Flavored coffee is certified Kosher and Gluten Free, and great as a gift for the holiday. Best Choice variety pack! This great Decaf Flavored Coffee Variety Pack from Double Donut Coffee contains 6 flavors: Caramel Swirl, Mocha Nut Fudge, Cinnamon Bun, Vanilla Bean, Hazelnut and Glazed Donut. Double Donut Coffee has no affiliation with Keurig or K-Cup. Keurig and K-Cup are registered trademarks of Keurig and Green Mountain",{},4.3 out of 5 stars,-5651
