"sellerId","asin","startDate","endDate","searchQuery","searchQueryScore","searchQueryVolume","totalQueryImpressionCount","asinImpressionCount","asinImpressionShare","totalClickCount","totalClickRate","asinClickCount","asinClickShare","totalMedianClickPriceAmount","totalMedianClickPriceCurrencyCode","asinMedianClickPriceAmount","asinMedianClickPriceCurrencyCode","totalSameDayShippingClickCount","totalOneDayShippingClickCount","totalTwoDayShippingClickCount","totalCartAddCount","totalCartAddRate","asinCartAddCount","asinCartAddShare","totalMedianCartAddPriceAmount","totalMedianCartAddPriceCurrencyCode","asinMedianCartAddPriceAmount","asinMedianCartAddPriceCurrencyCode","totalSameDayShippingCartAddCount","totalOneDayShippingCartAddCount","totalTwoDayShippingCartAddCount","totalPurchaseCount","totalPurchaseRate","asinPurchaseCount","asinPurchaseShare","totalMedianPurchasePriceAmount","totalMedianPurchasePriceCurrencyCode","asinMedianPurchasePriceAmount","asinMedianPurchasePriceCurrencyCode","totalSameDayShippingPurchaseCount","totalOneDayShippingPurchaseCount","totalTwoDayShippingPurchaseCount","partner_id"
PERFECT_SAMPLERS_SELLER,B07VN7FGZ3,2025-03-30,2025-04-05,decaf coffee flavored ground,25,94,2226,58,2.61,59,62.77,5,8.47,13.99,USD,8.99,USD,4,34,5,23,24.47,0,0.0,13.99,USD,,,1,12,4,11,11.7,0,0.0,13.99,USD,,,1,4,4,
PERFECT_SAMPLERS_SELLER,B07VN7FGZ3,2025-03-30,2025-04-05,crazy cups decaf ground coffee,8,66,2055,36,1.75,36,54.55,7,19.44,20.97,USD,21.99,USD,1,17,13,8,12.12,2,25.0,10.99,USD,21.99,USD,1,5,1,4,6.06,2,50.0,21.46,USD,21.99,USD,0,3,1,
PERFECT_SAMPLERS_SELLER,B07VN7FGZ3,2025-03-30,2025-04-05,decafinated ground coffee,16,3,81,3,3.7,3,100.0,1,33.33,25.84,USD,21.99,USD,0,2,1,2,66.67,1,50.0,21.99,USD,21.99,USD,0,2,0,1,33.33,1,100.0,21.99,USD,21.99,USD,0,1,0,
PERFECT_SAMPLERS_SELLER,B07VN7FGZ3,2025-03-30,2025-04-05,decaf coffee flavored,7,181,5330,120,2.25,108,59.67,10,9.26,13.99,USD,21.99,USD,13,58,24,41,22.65,4,9.76,12.99,USD,21.99,USD,6,24,7,14,7.73,1,7.14,8.99,USD,21.99,USD,3,6,3,
PERFECT_SAMPLERS_SELLER,B07VN7FGZ3,2025-03-30,2025-04-05,crazy cups flavored ground coffee collection,23,2,120,2,1.67,3,150.0,1,33.33,21.99,USD,21.99,USD,0,0,0,3,150.0,1,33.33,21.99,USD,21.99,USD,0,0,0,0,0.0,0,,,,,,0,0,0,
PERFECT_SAMPLERS_SELLER,B07VN7FGZ3,2025-03-30,2025-04-05,decaf flavored coffee,5,656,18683,426,2.28,371,56.55,22,5.93,14.45,USD,21.99,USD,26,159,89,119,18.14,4,3.36,13.99,USD,8.99,USD,16,49,30,53,8.08,0,0.0,12.99,USD,,,10,26,10,
PERFECT_SAMPLERS_SELLER,B07VN7FGZ3,2025-03-30,2025-04-05,bones coffee decaf,27,79,2167,69,3.18,42,53.16,3,7.14,17.99,USD,21.99,USD,2,19,14,7,8.86,0,0.0,17.99,USD,,,0,1,4,1,1.27,0,0.0,24.1,USD,,,0,1,0,
PERFECT_SAMPLERS_SELLER,B07VN7FGZ3,2025-03-30,2025-04-05,crazy cup coffee,14,20,554,7,1.26,8,40.0,1,12.5,18.99,USD,21.99,USD,0,2,2,4,20.0,1,25.0,21.99,USD,21.99,USD,0,1,0,4,20.0,1,25.0,21.99,USD,21.99,USD,0,1,0,
PERFECT_SAMPLERS_SELLER,B07VN7FGZ3,2025-03-30,2025-04-05,bulk coffee flavored decafe,61,3,75,3,4.0,3,100.0,1,33.33,21.46,USD,21.99,USD,0,3,0,0,0.0,0,,,,,,0,0,0,0,0.0,0,,,,,,0,0,0,
PERFECT_SAMPLERS_SELLER,B07VN7FGZ3,2025-03-30,2025-04-05,decaf coffee variety pack flavors grounds￼,24,2,40,2,5.0,2,100.0,1,50.0,21.99,USD,21.99,USD,0,2,0,2,100.0,1,50.0,21.99,USD,21.99,USD,0,2,0,1,50.0,0,0.0,21.99,USD,,,0,1,0,
PERFECT_SAMPLERS_SELLER,B07VN7FGZ3,2025-03-30,2025-04-05,decaf flavored coffee grounds sampler pack,17,1,26,1,3.85,2,200.0,1,50.0,21.99,USD,21.99,USD,0,2,0,2,200.0,1,50.0,21.99,USD,21.99,USD,0,2,0,2,200.0,1,50.0,21.99,USD,21.99,USD,0,2,0,
PERFECT_SAMPLERS_SELLER,B07VN7FGZ3,2025-03-30,2025-04-05,decaf flavored coffee ground bag,31,44,999,23,2.3,35,79.55,3,8.57,10.95,USD,9.89,USD,0,7,19,6,13.64,0,0.0,13.99,USD,,,0,1,3,0,0.0,0,,,,,,0,0,0,
PERFECT_SAMPLERS_SELLER,B07VN7FGZ3,2025-03-30,2025-04-05,crazy cups decaf flavored ground coffee,26,20,601,13,2.16,11,55.0,5,45.45,21.99,USD,21.99,USD,1,2,5,1,5.0,0,0.0,22.99,USD,,,0,1,0,0,0.0,0,,,,,,0,0,0,
