date,asin,ads_date_ref,tsales_date_ref,impressions,clicks,ad_spend,units_sold,ad_sales,shippedunits,shippedrevenueamount,Item Name,Collection,Category,Size,Inch,Ad Type,orderedunits,orderedrevenueamount
2024-10-06,B09KSXP3HN,2024-10-06,2024-10-06,0,0,0,0,0,0,0,"NapQueen Elsa 8"" Innerspring Mattress, Queen",Innerspring,Mattress,Queen,8 Inch,SP,4,700
2024-09-28,B0BRCYJ4SR,2024-09-28,2024-09-28,0,0,0,0,0,0,0,"NapQueen Anula Green Tea 6'', Twin-XL",Anula,Mattress,Twin XL,6 Inch,SP,5,540
2024-10-06,B0CY5QQ49F,2024-10-06,2024-10-06,0,0,0,0,0,0,0,NapQueen 14'' Isabella Hybrid Pillow Top King Mattress,Isabella Pillow Top,Mattress,King,14 Inch,SP,3,"1,395"
2024-09-28,B0CR4BG4ZW,2024-09-28,2024-09-28,0,0,0,0,0,0,0,"NapQueen Elite Series Machka Queen Mattress, 10 Inch Cooling Gel Memory Foam Mattress Queen, Hybrid Mattress in a Box with Individual Pocket Spring",Machka,Mattress,Queen,10 Inch,SP,2,636
2024-10-08,B0C9JLKFPZ,2024-10-08,2024-10-08,0,0,0,0,0,0,0,"NapQueen Anula Green Tea 8'', Queen",Anula,Mattress,Queen,8 Inch,SP,2,346
2024-10-09,B0C9JLKFPZ,2024-10-09,2024-10-09,0,0,0,0,0,0,0,"NapQueen Anula Green Tea 8'', Queen",Anula,Mattress,Queen,8 Inch,SP,11,"1,878"
2024-09-29,B0BNKZ6N9L,2024-09-29,2024-09-29,0,0,0,0,0,0,0,"NapQueen 3'' 5-Zone Mattress Topper, Twin",5-Zone gel,Mattress Topper,Twin,3 Inch,SP,1,48
2024-09-26,B09X1HV1NL,2024-09-26,2024-09-26,0,0,0,0,0,0,0,"NapQueen Elizabeth 6"" Gel Memory Foam Mattress, Twin XL",Elizabeth,Mattress,Twin XL,6 Inch,SP,-1,-117
2024-10-06,B09KTFXX6L,2024-10-06,2024-10-06,0,0,0,0,0,0,0,"NapQueen Elsa 6"" Innerspring Mattress, Queen",Innerspring,Mattress,Queen,6 Inch,SP,1,165
2024-10-05,B0CY5QQ49F,2024-10-05,2024-10-05,0,0,0,0,0,0,0,NapQueen 14'' Isabella Hybrid Pillow Top King Mattress,Isabella Pillow Top,Mattress,King,14 Inch,SP,1,465
2024-10-02,B09KTFXX6L,2024-10-02,2024-10-02,0,0,0,0,0,0,0,"NapQueen Elsa 6"" Innerspring Mattress, Queen",Innerspring,Mattress,Queen,6 Inch,SP,1,165
2024-10-05,B0BNL53HF3,2024-10-05,2024-10-05,0,0,0,0,0,0,0,"NapQueen 1.5'' Green Tea Mattress Topper, Queen",Green Tea,Mattress Topper,Queen,1.5 Inch,SP,1,65
2024-10-02,B09X1HV1NL,2024-10-02,2024-10-02,0,0,0,0,0,0,0,"NapQueen Elizabeth 6"" Gel Memory Foam Mattress, Twin XL",Elizabeth,Mattress,Twin XL,6 Inch,SP,1,164
2024-09-27,B09X1HV1NL,2024-09-27,2024-09-27,0,0,0,0,0,0,0,"NapQueen Elizabeth 6"" Gel Memory Foam Mattress, Twin XL",Elizabeth,Mattress,Twin XL,6 Inch,SP,1,164
2024-10-06,B0B31VFJ6Q,2024-10-06,2024-10-06,0,0,0,0,0,0,0,"NapQueen 6"" Bamboo Charcoal Mattress, Queen",Bamboo Charcoal Mattress,Mattress,Queen,6 Inch,SP,1,188
2024-09-30,B0BRCYV77T,2024-09-30,2024-09-30,0,0,0,0,0,0,0,"NapQueen Anula Green Tea 8'', Twin-XL",Anula,Mattress,Twin XL,8 Inch,SP,0,0
2024-10-08,B0BRDCBGFD,2024-10-08,2024-10-08,63,0,0,0,0,0,0,"NapQueen 10"" Maxima Hybrid Mattress, Twin, Cooling Gel Infused Memory Foam and Innerspring Mattress",Maxima,Mattress,Twin,10 Inch,SP,13,"1,780"
2024-10-09,B0BGDWGRQB,2024-10-09,2024-10-09,33,0,0,0,0,0,0,"NapQueen 8"" Maxima Hybrid Mattress, Twin, Cooling Gel Infused Memory Foam and Innerspring Mattress",Maxima,Mattress,Twin,8 Inch,SP,5,705
2024-10-08,B09KTJRHC7,2024-10-08,2024-10-08,292,0,0,0,0,0,0,"NapQueen Elsa 6"" Innerspring Mattress, Full",Innerspring,Mattress,Full,6 Inch,SP,9,"1,247"
2024-10-06,B0BRCXP7VN,2024-10-06,2024-10-06,23,0,0,0,0,0,0,"NapQueen Anula Green Tea 8'', Full",Anula,Mattress,Full,8 Inch,SP,3,463
