Index,Product Dimensions,Size,Style
0,"80""L x 76""W x 12""Th",King,12 Inch
1,"80""L x 76""W x 14""Th",King,14 Inch
2,"80""L x 60""W x 14""Th",Queen,14 Inch
3,"75""L x 54""W x 12""Th",Full,12 Inch
5,"80""L x 60""W x 12""Th",Queen,12 Inch
9,"75""L x 39""W x 10""Th",Twin,10 Inch
10,"80""L x 60""W x 10""Th",Queen,10 Inch
11,"80""L x 60""W x 8""Th",Queen,8 Inch
13,"75""L x 54""W x 8""Th",Full,8 Inch
15,"75""L x 54""W x 10""Th",Full,10 Inch
16,"75""L x 39""W x 8""Th",Twin,8 Inch
23,"80""L x 76""W x 10""Th",King,10 Inch
27,,King,27 Inch
28,"54""L x 75""W x 10""Th",Full,6 Inch
29,"76""L x 80""W x 14""Th",King,14 Inch
31,"38""L x 75""W x 8""Th",Twin,8 Inch
32,"60""L x 80""W x 12""Th",Queen,12 Inch
33,"76""L x 80""W x 12""Th",King,12 Inch
38,"75""L x 39""W x 12""Th",Twin,12 Inch
41,"84""L x 72""W x 12""Th",King,12 Inch
50,"80""L x 76""W x 10""H",King,80 Inch
66,"51.97""L x 18.11""W x 25""H",Full,6 Inch
67,"28""W x 18""H",Twin,40 Inch
75,"75""L x 54""W x 14""Th",Full,14 Inch
78,"74.8""L x 38.98""W x 8.2""Th",Twin,8 Inch
81,"75""L x 39""W x 6""Th",Twin,8 Inch
83,"75""L x 54""W x 6""Th",Full,12 Inch
86,"54""L x 75""W x 5""Th",Full,5 Inch
87,"60""L x 80""W x 5""Th",Queen,5 Inch
88,"39""L x 75""W x 5""Th",Twin,5 Inch
89,"75""L x 38""W x 4.5""Th",Twin,5 Inch
90,"73""L x 52""W x 4.5""Th",Full,5 Inch
91,"74""L x 52""W x 12""Th",Full,12 Inch
92,"80""L x 39""W x 12""Th",Twin XL,12 Inch
100,"79.17""L x 71.37""W x 12""Th",King,12 Inch
103,"74.8""L x 54""W x 12""Th",Full,12 Inch
105,"74.8""L x 39""W x 10""Th",Twin,10 Inch
114,"74.8""L x 54""W x 10""Th",Full,10 Inch
122,"80""L x 60""W x 6""Th",Queen,6 Inch
125,"84""L x 72""W x 13""Th",King,12 Inch
136,"75""L x 48""W x 10""Th",Full,10 Inch
138,"75""L x 38""W x 12""Th",Twin,12 Inch
144,"75""L x 38""W x 10""Th",Twin,10 Inch
146,"71""W x 21.5""H",Queen,71 Inch
147,"79.92""L x 75.98""W x 9.84""Th",King,8 Inch
148,"39""L x 75""W x 12""Th",King,12 Inch
151,"80""L x 75""W x 18""Th",King,80 Inch
156,"75""L x 39""W x 14""Th",Twin,14 Inch
168,"54""L x 74""W x 14""Th",Full,14 Inch
171,"60""L x 80""W x 14""Th",Queen,14 Inch
173,"54""L x 74""W x 12""Th",Full,12 Inch
177,"74""L x 54""W x 12""Th",Full,12 Inch
180,"74""L x 39""W x 12""Th",Twin,12 Inch
181,"74""L x 38""W x 12""Th",Twin,12 Inch
189,"74""L x 54""W x 14""Th",Full,14 Inch
191,"80""L x 78""W x 14""Th",King,14 Inch
206,"75""L x 10""W x 39""Th",Twin,10 Inch
207,"80""L x 60""W x 5""Th",Queen,5 Inch
208,"80""L x 200""W x 14""Th",King,14 Inch
209,"80""L x 39""W x 6""Th",Twin,6 Inch
211,"80""L x 76""W x 8""Th",King,8 Inch
220,"80""L x 10""W x 60""Th",Queen,12 Inch
224,"80""L x 39""W x 10""Th",Twin XL,10 Inch
236,"75""L x 30""W x 5""Th",Twin,5 Inch
237,"79""L x 37""W x 6""Th",Twin XL,6 Inch
238,"80""L x 39""W x 18""Th",Twin XL,18 Inch
239,"30""D x 40""W x 27""H",Twin,7 Inch
240,"75""L x 38""W x 8""Th",Twin,8 Inch
246,"75""L x 38""W x 14""Th",Twin,14 Inch
248,"80""L x 39""W x 3.2""Th",Twin,39 Inch
253,"80""L x 60""W x 16""Th",Queen,16 Inch
254,"31.5""L x 23.62""W x 5.12""Th",Queen,13 Inch
259,"102""L x 94""W x 14""H",King,14 Inch
260,"98.43""L x 82.68""W x 14.17""H",Queen,14 Inch
268,"84""L x 72""W x 14""Th",King,14 Inch
269,"80""L x 39""W x 14""Th",Twin XL,14 Inch
280,"80""L x 76""W x 13""Th",King,13 Inch
281,"80""L x 60""W x 13""Th",Queen,13 Inch
319,"80""L x 76""W x 16""Th",King,16 Inch
339,"80""L x 60""W x 20""Th",Queen,20 Inch
